stage,seed,suite,model,modes,rho,n_samples,relative_l2_mean,relative_l2_median,mae_mean,mae_median,linf_mean,linf_median,interface_mae_mean,interface_mae_median,far_field_mae_mean,far_field_mae_median,jump_amplitude_error_mean,jump_amplitude_error_median,overshoot_mean,overshoot_median,spurious_jump_error_mean,spurious_jump_error_median,total_variation_error_mean,total_variation_error_median
A,0,ablation_constant,shared,8,0.0,32,0.2378089218755385,0.23515250547541683,0.06402449576437966,0.06386780958265413,0.3586162482217,0.3732994178347421,0.17837467301992346,0.1807684168344531,0.03870958052831561,0.040172602008154076,0.6115396297905112,0.6315877867231849,0.07289667050227314,0.07261663374982874,0.7250201711830025,0.7895724085766167,0.535657130649595,0.5310242680258864
A,0,ablation_constant,shared_learnable_rho,8,0.007465560653954272,32,0.23760876716609847,0.2350148025702815,0.0639358159257807,0.06381008623696055,0.3585249708455589,0.37303391548855525,0.17829555867323785,0.1807190897021984,0.03861584813429714,0.04006688120053446,0.6113261596717104,0.6313638595706043,0.07311732139135972,0.07280463837957807,0.7249723914724916,0.7895387535342776,0.5360507979305257,0.5314940321308099
A,0,ablation_constant,dual,8,0.0,32,0.23337053738208624,0.23271853386767838,0.061628576399484075,0.06334847848897568,0.35713640131074986,0.3718613103400394,0.17677700154010703,0.17952225852743398,0.03606364917471929,0.03607790854132298,0.6052339109839642,0.6251932162419692,0.08099920288872786,0.07687617174512784,0.7247360608453552,0.7855994001629527,0.5601954062542731,0.5512446575503924
A,0,ablation_shift_-4,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_-4,shared,8,0.0,32,0.37957169745784725,0.38719681615657453,0.08061070398318831,0.08192626883794128,0.6227331794853413,0.6338036482988669,0.339552046440722,0.33480863139173433,0.02112963533469086,0.016206014838653218,0.8014372577305634,0.7969374105319268,0.06161265500980945,0.05396817076906707,0.8757170978314495,0.9037933168604555,0.3650300413132712,0.29028486980232737
A,0,ablation_shift_-4,shared_learnable_rho,8,0.007465560653954272,32,0.37787934628710207,0.38519116548079113,0.08040315005355309,0.08186672207874407,0.620426335498818,0.6315072956998726,0.3382312184656351,0.3332842034771537,0.02118508554705367,0.016282464219248685,0.7999059975747288,0.7954940273664388,0.061823486155458074,0.054244168951954,0.8744752229479529,0.9028278624302981,0.36603848269814554,0.2921844893254131
A,0,ablation_shift_-4,dual,8,0.0,32,0.48646157378687255,0.5021469670684415,0.09765473848386125,0.09569227690142589,0.7715936952450675,0.7477779841719749,0.4281997521916032,0.44195712647711793,0.021393835441127423,0.011745794512736902,0.8968231633919012,0.886489259541664,0.08051993697286722,0.04968892567212391,1.0002079976910474,0.9664303049223265,0.4155125936021158,0.2277972335281151
A,0,ablation_shift_-2,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_-2,shared,8,0.0,32,0.2996177597438665,0.32623039168414314,0.053698024298662654,0.060081299782306724,0.5840477209140812,0.5913954396868839,0.21573211095209452,0.21068001801642977,0.01695541761450955,0.015224022323179829,0.8014372577305634,0.7969374105319268,0.056797051160248004,0.05318280679419374,0.8416191621203197,0.8773319718212229,0.30577106699589446,0.27799501526116066
A,0,ablation_shift_-2,shared_learnable_rho,8,0.007465560653954272,32,0.29874637543432153,0.3253133899858429,0.05370911161614499,0.05999674236068214,0.5821375210573883,0.5899581209519433,0.21541304306532102,0.21041083018525986,0.01704566683599713,0.015334012713500333,0.7999059975747288,0.7954940273664388,0.05705185989617553,0.05348540860325868,0.8405473323047269,0.8766569253018769,0.3072523188304807,0.2795150604735068
A,0,ablation_shift_-2,dual,8,0.0,32,0.35395446818742876,0.3818536215390994,0.05758248495739671,0.06296051212048696,0.7025687932106013,0.7058230168987553,0.2444724061538496,0.2309688851783563,0.01505084881157023,0.011253279112406847,0.8968231633919012,0.886489259541664,0.06529662764506351,0.04802316309965826,0.9154192124280356,0.9172971110978803,0.32116555460118357,0.2294731610605677
A,0,ablation_shift_-1,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_-1,shared,8,0.0,32,0.2420062091283874,0.2478272672835086,0.04089260950147848,0.04525961364727234,0.583911375666518,0.5913954396868839,0.15061267784634844,0.15326070549631476,0.016094176561543966,0.014689551917261425,0.5457200484853223,0.567854937079741,0.056797051160248004,0.05318280679419374,0.9115697726456122,0.8704880740267229,0.30746978348893017,0.2813819693430084
